"You created the order.","Você criou o pedido."
"Order saving error: %1","Erro ao salvar o pedido: %1"
"Please choose a payment method.","Por favor, escolha sua forma de pagamento."
"We can\'t process your order right now. Please try again later.","Não podemos processar seu pedido agora. Por favor, tente novamente mais tarde."
"An error occurred on the server. Please try to place the order again.","Ocorreu um erro no servidor. Por favor, tente fazer o pedido novamente."
"Credit Card: xxxx-%1","Cartão de Crédito: xxxx-%1"
"amount %1","valor %1"
failed.,falhou.
successful.,bem sucedido.
"Authorize.Net Transaction ID %1.","Transação Authorize.Net %1."
authorize,autorizar
"authorize and capture","autorizar e capturar"
capture,capturar
refund,reembolsar
void,cancelar
"Gateway error: %1","Erro no Gateway: %1"
"Something went wrong in the payment gateway.","Algo deu errado no gateway de pagamento."
"Invalid amount for capture.","Montante inválido para captura."
"Payment capturing error.","Erro de captura do pagamento."
"Invalid transaction ID.","ID de transação inválido."
"Payment voiding error.","Erro no cancelamento do pagamento."
"Invalid amount for refund.","Montante inválido para reembolso."
"Payment refunding error.","Erro de reembolso de pagamento."
"The transaction was declined because the response hash validation failed.","A transação foi recusada porque a validação do hash da resposta falhou."
"This payment didn\'t work out because we can\'t find this order.","Este pagamento não funcionou porque não conseguimos encontrar este pedido."
"There was a payment authorization error.","Houve um erro de autorização de pagamento."
"Please enter a transaction ID to authorize this payment.","Insira uma ID de transação para autorizar esse pagamento."
"Something went wrong: the paid amount doesn\'t match the order amount. Please correct this and try again.","Algo deu errado: o valor pago não coincide com o valor do pedido. Corrija isso e tente novamente."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","A transação% 1 foi aprovada. Montante % 2. O status da transação é ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","A transação %1 foi anulada/recusada. O status da transação é ""%2"". Montante %3."
"Authorize Only","Autorizar Somente"
"Authorize and Capture","Autorizar e Capturar"
"Unable to get transaction details. Try again later.","Não foi possível obter os detalhes da transação. Tente mais tarde."
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Expiration Date","Data de Vencimento"
"Card Verification Number","Número de Verificação do Cartão"
"Fraud Detection ","Detecção de Fraude "
"FDS Filter Action","Ação do filtro FDS"
"AVS Response","Resposta AVS"
"Card Code Response","Resposta do Código do Cartão"
"CAVV Response","Resposta da CAVV"
"Fraud Filters","Filtros de fraude"
"Place Order","Fazer o Pedido"
"Authorize.net Direct Post","Post Direto Authorize.net"
Enabled,Habilitar
"Payment Action","Ação de pagamento"
Title,Título
"API Login ID","ID de login da API"
"Transaction Key","Chave de transação"
"Merchant MD5","MD5 do Comerciante"
"New Order Status","Novo status do pedido"
"Test Mode","Modo de Teste"
"Gateway URL","URL do Gateway"
"Transaction Details URL","URL de detalhes da transação"
"Accepted Currency","Moeda Aceita"
Debug,Depurar
"Email Customer","Email do Cliente"
"Merchant's Email","Email do comerciante"
"Credit Card Types","Tipos de Cartões de Crédito"
"Credit Card Verification","Verificação do Cartões de Crédito"
"Payment from Applicable Countries","Pagamento dos Países Aplicáveis"
"Payment from Specific Countries","Pagamento dos Países Específicos"
"Minimum Order Total","Total Mínimo do Pedido"
"Maximum Order Total","Total Máximo do Pedido"
"Sort Order","Ordenação"
