"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"You entered an invalid Secret Key. Please refresh the page.","Você inseriu uma chave secreta inválida. Por favor, atualize a página."
"Cache Storage Management","Gerenciamento do Armazenamento de Cache"
"Flush Magento Cache","Esvaziar o Cache do Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","O armazenamento de cache pode conter dados adicionais. Você tem certeza que quer esvaziá-lo?"
"Flush Cache Storage","Esvaziar o Armazenamento de Cache"
Invalidated,Invalidado
Orders,Pedidos
Amounts,Montantes
Bestsellers,Mais Vendidos
"Most Viewed Products","Produtos Mais Visualizados"
"New Customers","Novos Clientes"
Customers,Clientes
Customer,Cliente
Guest,Visitante
Items,Itens
Total,Total
"Lifetime Sales","Todas as Vendas"
"Average Order","Pedido Médio"
Average,Média
Product,Produto
Price,Preço
Quantity,Quantidade
Views,Visualizações
Revenue,Receita
Tax,Imposto
Shipping,Remessa
"Images (.gif, .jpg, .png)","Imagens (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Mídia (.avi, .flv, .swf)"
"All Files","Todos os Arquivos"
"Reset to Default","Redefinir para o Padrão"
"All Store Views","Todas as Visões de Loja"
"What is this?","O que é isso?"
"Save Account","Salvar Conta"
"My Account","Minha Conta"
"Account Information","Informações da Conta"
"User Name","Nome de Usuário"
"First Name","Nome"
"Last Name","Sobrenome"
Email,Email
"User Email","Email do Usuário"
"New Password","Nova Senha"
"Password Confirmation","Confirmação de Senha"
"Interface Locale","Localização da Interface"
"Current User Identity Verification","Verificação da Identidade do Usuário Atual"
"Your Password","Sua Senha"
"Save Cache Settings","Salvar Configurações de Cache"
"Catalog Rewrites","Re-escritas do Catálogo"
Refresh,Atualizar
"Images Cache","Cache de Imagens"
Clear,Limpar
"Search Index","Índice de Busca"
Rebuild,Reconstruir
"Inventory Stock Status","Status do Estoque do Inventário"
"Rebuild Catalog Index","Reconstruir o Índice do Catálogo"
"Rebuild Flat Catalog Category","Reconstruir Catálogo Plano de Categorias"
"Rebuild Flat Catalog Product","Reconstruir Catálogo Plano de Produtos"
"Cache Control","Controle de Cache"
"All Cache","Todos os Caches"
"No change","Sem Mudança"
Disable,Desabilitado
Enable,Habilitado
"Add Design Change","Adicionar Mudança de Design"
Back,Voltar
Delete,Apagar
"Are you sure?","Tem certeza?"
Save,Salvar
"Edit Design Change","Editar Mudança de Design"
"New Store Design Change","Nova Mudança de Design da Loja"
"General Settings","Configurações Gerais"
Store,Loja
"-- Please Select --","-- Por favor, escolha --"
"Custom Design","Design Personalizado"
"Date From","Data De"
"Date To","Data Para"
"Design Change","Mudança de Design"
General,Geral
Cancel,Cancelar
"Delete %1 '%2'","Apagar %1 '%2'"
"Delete %1","Apagar %1"
"Block Information","Informações do Bloco"
"Backup Options","Opções de Backup"
"Create DB Backup","Criar Backup do BD"
Yes,Sim
No,Não
"Delete Store","Apagar Loja"
"Delete Web Site","Apagar Web Site"
"Save Web Site","Salvar Web Site"
"Save Store","Salvar Loja"
"Save Store View","Salvar Visão da Loja"
"Delete Store View","Apagar Visão da Loja"
"Edit Web Site","Editar Web Site"
"New Web Site","Novo Web Site"
"Edit Store","Editar Loja"
"New Store","Nova Loja"
"Edit Store View","Editar Visão da Loja"
"New Store View","Nova Visão da Loja"
"Store Information","Informações da Loja"
"Web Site","Web Site"
Name,Nome
"Root Category","Categoria Raíz"
"Default Store View","Visão da Loja Padrão"
"Store View Information","Informações da Visão da Loja"
Code,Código
Status,Status
Disabled,Desabilitado(a)
Enabled,Habilitado(a)
"Sort Order","Ordenação"
"Web Site Information","Informações do Web Site"
"Default Store","Loja Padrão"
"Set as Default","Configurar como Padrão"
Stores,Lojas
"Create Website","Criar Web Site"
"Create Store","Criar Loja"
"Create Store View","Criar Visão de Loja"
Home,Principal
Reset,Redefinir
"Are you sure you want to do this?","Tem certeza que quer fazer isso?"
"Add New Image","Adicionar Nova Imagem"
"Export block for grid %1 is not defined","Bloco de exportação para a grade %1 não foi definido"
"Reset Filter","Redefinir Filtros"
Search,Procurar
Any,Qualquer
"All Countries","Todos os Países"
From,De
To,Para
"Date selector","Seletor de Data"
"[ deleted ]","[ apagado ]"
"Select All","Selecionar Tudo"
" [deleted]"," [apagado]"
"We couldn\'t find any records.","Nenhum registro encontrado."
"Add New","Adicionar Novo"
"Invalid export type supplied for grid export block","O tipo de exportação fornecido é inválido para o bloco de exportação da grade"
Export,Exportar
