Country,País
"Allowed Credit Card Types","Bandeiras Permitidas"
"Add Rule","Adicionar Regra"
Month,Mês
Year,Ano
"Stored Card","Cartão Armazenado"
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Number","Número do cartão de crédio"
"Credit card successfully added","Cartão de crédito adicionado com sucesso"
"Something went wrong while saving the card.","Ocorreu um problema ao salvar o cartão."
"Credit card does not exist","O cartão de crédito não existe"
"Delete Credit Card","Apagar Cartão"
"There was error deleting the credit card","Ocorreu um problema ao apagar o cartão"
"Credit card successfully deleted","Cartão de crédito apagado com sucesso"
"Edit Credit Card","Editar Cartão"
"My Credit Cards","Meus Cartões"
"New Credit Card","Novo Cartão"
"There was error during saving card data","Ocorreu um problema ao salvar os dados do cartão"
"We can\'t initialize checkout.","Não foi possível inicializar a finalização da compra."
"Please agree to all the terms and conditions before placing the order.","Por favor, você precisa aceitar os termos e condições antes de realizar o pedido."
"We can\'t place the order.","Não foi possível realizar o pedido."
"Incorrect payment method.","Método de pagamento incorreto."
"We can\'t initialize checkout review.","Não foi possível inicializar a revisão do pedido."
"We can\'t update shipping method.","Não foi possível atualizar o método de pagamento."
"The processor declined your transaction, please re-enter your payment information","A processadora rejeitou sua transação, por favor, entre com as informações de pagamento novamente."
"Transaction declined by gateway: Check card details or try another card","Transação rejeitada pelo gateway: verifique os dados do cartão ou tente outro cartão"
"Transaction declined: ","Transação rejeitada: "
.,.
"The processor responded with an unknown error","A processadora respondeu com um erro desconhecido"
"Credit card type is not allowed for your country.","O tipo de cartão de crédito não é permitido para seu país."
"Credit card type is not allowed for this payment method.","O tipo de cartão de crédito não é permitido para esse método de pagamento."
"Selected payment type is not allowed for billing country.","O tipo de pagamento selecionado não é permitido para o país de cobrança."
"Incomplete payment information.","Informações de pagamento incompletas."
"Please try again later","Por favor, tente novamente mais tarde."
"Can not find original authorization transaction for partial capture","Não foi possível encontrar a autorização da transação para a captura parcial"
"There was an error capturing the transaction: %1.","Ocorreu um problema ao capturar a transação: %1."
"This refund is for a partial amount but the Transaction has not settled.","Este reembolso é por um montante parcial, mas a transação não foi liquidada."
"Please wait 24 hours before trying to issue a partial refund.","Aguarde 24 horas antes de tentar emitir um reembolso parcial."
"There was an error refunding the transaction: %1.","Ocorreu um erro ao reembolsar a transação: %1."
"Some transactions are already settled or voided and cannot be voided.","Algumas transações já estão resolvidas ou anuladas e não podem ser anuladas."
"Voided capture.","Captura anulada."
"There was an error voiding the transaction: %1.","Ocorreu um erro anulando a transação: %1."
Invoice,Fatura
Shipment,Envio
Authorize,Autorizar
"Authorize and Capture","Autorizar e Capturar"
"--Please Select--","--Por favor, selecione--"
"Invalid Customer ID provided","ID de cliente inválido"
"some error","algum erro"
"a,b,c","a,b,c"
"Something went wrong while processing.","Ocorreu um problema no processamento."
error,erro
exception,exceção
"Payment Information","Informações de Pagamento"
"Add new card","Adicionar novo cartão"
"Please Select","Por favor, selecione"
"Expiration Date","Data de expiração"
"Card Verification Number","Número de verificação do cartão"
"Save this card for future use","Salvar este cartão para usu futuro"
or,ou
"Please confirm that you want to delete this credit card","Por favor, confirme que você quer apagar este cartão de crédito"
"Cardholder Name","Nome do proprietário do cartão"
Delete,Apagar
Back,Voltar
"* Required Fields","* Campos Obrigatórios"
"Credit Card","Cartão"
CVV,CVV
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"What is this?","O que é isso?"
"Make Default","Tornar Padrão"
"Billing Address","Endereço de Cobrança"
"First Name","Nome"
"Last Name","Sobrenome"
Company,Empreso
Address,Endereço
City,Cidade
State/Province,Estado/Província
"Please select region, state or province","Por favor, selecione a região, estado ou província"
"Zip/Postal Code","ZIP/Código Postal"
Submit,Enviar
"Add Credit Card","Adicionar Cartão"
Type,Tipo
"Card Number","Número do Cartão"
"Is Default","É Padrão"
Actions,Ações
Yes,Sim
No,Não
Edit,Editar
"Place Order","Realizar o Pedido"
"Credit Card Information","Informações do Cartão"
"An error occured with payment processing.","Ocorreu um problema com o processamento do pagamento."
"Can not initialize PayPal (Braintree)","Não foi possível inicializar o PayPal (Baintree)"
"Please try again with another form of payment.","Por favor, tente novamente com outra forma de pagamento."
Braintree,Braintree
&nbsp;,&nbsp;
"Enable this Solution","Habilitar esta solução"
"Enable PayPal through Braintree","Habilitar o PayPal através do Braintree"
"Basic Braintree Settings","Configurações Básicas do Braintree"
Title,Título
Environment,Ambiente
"Payment Action","Ação de pagamento"
"Merchant Account ID","ID da conta do comerciante"
"Merchant ID","ID do comerciante"
"Public Key","Chave pública"
"Private Key","Chave privada"
"Advanced Braintree Settings","Configurações Avançadas do Braintree"
Debug,Debug
"Capture Action","Ação de captura"
"New Order Status","Status dos novos pedidos"
"Use Vault","Usar o cofre"
"Allow Duplicate Cards","Permitir cartões duplicados"
"CVV Verification","Verificação do CVV"
"Credit Card Types","Bandeira do cartão de crédito"
"Enable Credit Card auto-detection on Storefront","Habilitar auto-detecção do cartão de crédito na frente de loja"
"Advanced Fraud Protection","Proteção de fraude avançada"
"Your Kount ID","Seu ID Kount"
"Use Cache","Usar cache"
"Sort Order","Ordenação"
"Country Specific Settings","Configurações Específicas por País"
"Payment from Applicable Countries","Países aceitos"
"Payment from Specific Countries","Países específicos"
"Country Specific Credit Card Types","Bandeiras específicas por país"
"PayPal through Braintree","PayPal através da Braintree"
"Override Merchant Name","Substituir o nome do comerciante"
"Display on Shopping Cart","Exibir no carrinho de compras"
"Require Customer's Billing Address","Exigir o endereço de cobrança do cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir editar endereço de entrega durante a finalização no lado PayPal"
"3D Secure Verification Settings","Configurações da verificação do 3D Secure"
"3D Secure Verification","Verificação 3D Secure"
"Edit My Credit Cards","Editar Meus Cartões"
"cc_type","Bandeira"
"cc_number","Número do cartão"
"avsPostalCodeResponseCode","Código de resposta do código postal AVS"
"avsStreetAddressResponseCode","Código de resposta do endereço AVS"
"cvvResponseCode","Código de resposta do CVV"
"processorAuthorizationCode","Código de autorização da processadora"
"processorResponseCode","Código de resposta da processadora"
"processorResponseText","Texto de resposta da processadora"
"braintree", "Braintree"
"liabilityShifted", "Responsabilidade transferida"
"liabilityShiftPossible", "Posibilidade de transferência da responsabilidade"
"riskDataId", "ID do risco"
"riskDataDecision", "Decisão de risco"
"paymentId", "ID do pagamento"
"payerEmail", "Email do pagante"
"sale","Venda"
"credit","Crédito"
"authorization_expired","Autorização expirada"
"authorizing","Autorizando"
"authorized","Autorizada"
"gateway_rejected","Rejeitado pelo Gateway"
"failed","Falhou"
"processor_declined","Rejeitada pela processadora"
"settled","Liquidada"
"settling","Liquidando"
"submitted_for_settlement","Enviada para liquidação"
"voided","Anulada"
"unrecognized","Não reconhecida"
"settlement_declined","Liquidação rejeitada"
"settlement_pending","Liquidação pendente"
"settlement_confirmed","Liquidação confirmada"
"paypal_account","Conta PayPal"
"coinbase_account","Conta Coinbase"
"europe_bank_accout","Conta Banco Europeu"
"credit_card","Cartão de Crédito"
"apple_pay_card","Cartão Apple Pay"
"android_pay_card","Cartão Android Pay"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Aceite cartões de crédito/débito e PayPal na sua loja Magento.<br/>Sem taxas de configuração ou mensal e seus consumidores nunca deixam sua loja para terminar a compra."
