"Entity type model \'%1\' is not found","Modelo de entidade \'%1\' não foi encontrado"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","O modelo da entidade tem que ser uma instância de \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType"
"There are no product types available for export.","Não há tipos de produtos disponíveis para exportar."
"Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType","O modelo da entidade tem que ser uma instância de \Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType"
"Category ""%1"" has not been created.","A categoria ""%1"" não foi criada."
"File directory \'%1\' is not readable.","O arquivo/diretório \'%1\' não é legível."
"File directory \'%1\' is not writable.","O arquivo/diretório \'%1\' não é gravável."
"Value for \'price\' sub attribute in \'store\' attribute contains incorrect value","O valor para o sub-atributo \'price\' no atributo \'store\' está incorreto"
"Value for \'type\' sub attribute in \'custom_options\' attribute contains incorrect value, acceptable values are: \'dropdown\', \'checkbox\'","O valor para o sub-atributo \'type\' no atributo \'custom_options\' está incorreto. Os valores aceitos são: \'dropdown\', \'checkbox\'"
"Please enter a value for title.","Por favor, informe o título."
"Value for \'price\' sub attribute in \'custom_options\' attribute contains incorrect value","O valor para o sub-atributo \'price\' no atributo \'custom_options\' está incorreto"
"Value for \'maximum characters\' sub attribute in \'custom_options\' attribute contains incorrect value","O valor para o sub-atributo \'maximum characters\' no atributo \'custom_options\' está incorreto"
"Value for \'sort order\' sub attribute in \'custom_options\' attribute contains incorrect value","O valor para o sub-atributo \'sort order\' no atributo \'custom_options\' está incorreto"
"Value for \'value price\' sub attribute in \'custom_options\' attribute contains incorrect value","O valor para o sub-atributo \'value price\' no atributo \'custom_options\' está incorreto"
"This name is already being used for custom option. Please enter a different name.","Este nome já está sendo utilizado em uma opção personalizada. Por favor, informe um nome diferente."
"Custom options have different types.","Opções personalizadas possui tipos diferentes."
"Every option entity must have a parent product entity.","Cada opção da entidade tem que ter uma entidade produto pai."
"Please correct the parameters.","Por favor, corrija os parâmetros."
"File \'%1\' was not found or has read restriction.","O arquivo \'%1\' não foi encontrado ou possui restrições de leitura."
