"Please specify a website.","Por favor, especifique um website."
"Please specify an email.","Por favor, especifique um email."
"We found an invalid value in a website column.","Foi encontrado um valor inválido em uma coluna website."
"Please enter a valid email.","Por favor, informe um email válido."
"Please make sure attribute ""%s"" is not empty.","Por favor, ceritifique-se que o atributo ""%s"" não está vazio."
"We can\'t find a customer who matches this email and website code.","Não foi possível encontrar clientes que combinem com o email e código do website."
"Customer address id column is not specified","A coluna ID do endereço do cliente não foi especificada"
"We can\'t find that customer address.","Não foi possível encontrar o endereço do cliente."
"Please enter a valid region.","Por favor, informe uma região válida."
"We found another row with this email, website and address ID combination.","Foram encontradas outras linhas com essa combinação de email, website ou ID de endereço."
"This email is found more than once in the import file.","Esse email foi encontrado em mais de uma vez no arquivo importado."
"Orphan rows that will be skipped due default row errors","Linhas órfãs foram ignoradas devido a um erro nas mesmas"
"Invalid value in Store column (store does not exists?)","Valor inválido na coluna Loja (a loja existe?)"
"We can\'t find that email and website combination.","Não foi possível encontrar essa combinação de email e website."
"Please enter a password with a valid length.","Por favor, informe uma senha com comprimento válido."
CSV,CSV
"Excel XML","XML Excel"
