"Operation allowed only in HTTPS","Operação permitida somente em HTTPS"
"Cannot perform GET operation with store code \'all\'","Não é possível executar operações GET com o código de loja \'all\'"
"Request does not match any route.","A requisição não combina com nenhuma rota."
"Not allowed parameters: %1. Please use only %2 and %3.","Parâmetros não permitidos: %1. Por favor, use somente %2 e %3."
"Requested service is not available: ""%1""","O serviço solicitado não está disponível: ""%1"""
"Operation ""%1"" not found.","Operação ""%1"" não encontrada."
"SOAP extension is not loaded.","A extensão SOAP não está carregada."
"Invalid XML","XML inválido"
"Invalid XML: Detected use of illegal DOCTYPE","XML inválido: Detectado o uso ilegal de DOCTYPE"
message,mensagem
Message,Mensagem
"Soap fault reason.","Soap falhou."
"Manage Customers","Gerenciar Clientes"
"Create Customer","Criar Cliente"
"Edit Customer","Editar Cliente"
"Get Customer","Obter Cliente"
"Delete Customer","Apagar Cliente"
"Magento Web API","API Web Magento"
"SOAP Settings","Configurações SOAP"
"Default Response Charset","Conjunto de caracteres padrão"
"If empty, UTF-8 will be used.","Caso vazio, UTF-8 será utilizado."
"Web Services Configuration","Configurações de Web Services"
"REST and SOAP configurations, generated WSDL file","Configurações REST e SOAP, arquivo WSDL gerado"
